source_doc_id,publisher,source_grade,accepted_for_final,document_type,source_url,attachment_url,file_name,mime_type,publication_date,coverage_scope,covered_city_count,covered_year_count,covered_core_value_count,covered_cities,covered_years,covered_fields,coverage_status,note
SRC-GD-DEBT-2024-FINAL,广东省人民政府,A1,true,official_debt_report,https://www.gd.gov.cn/attachment/0/589/589351/4760613.pdf,https://www.gd.gov.cn/attachment/0/589/589351/4760613.pdf,,application/pdf,2025-08-19,multicity_batch,21,1,42,CN-440100;CN-440200;CN-440300;CN-440400;CN-440500;CN-440600;CN-440700;CN-440800;CN-440900;CN-441200;CN-441300;CN-441400;CN-441500;CN-441600;CN-441700;CN-441800;CN-441900;CN-442000;CN-445100;CN-445200;CN-445300,2024,statutory_debt_balance_100m;statutory_debt_limit_100m,accepted,表35为一般债务限额及余额，表36为专项债务限额及余额；采用全市/地级市列示口径。
SRC-GD-FUND-SECONDARY-2025,远东资信评估有限公司,D,false,secondary_credit_report,https://www.sfecr.com/upload/file/2025-12/col68/1765857166316.pdf,https://www.sfecr.com/upload/file/2025-12/col68/1765857166316.pdf,,application/pdf,2025-12-16,multicity_batch,19,1,19,CN-440100;CN-440200;CN-440300;CN-440400;CN-440500;CN-440600;CN-440700;CN-440800;CN-441200;CN-441300;CN-441400;CN-441500;CN-441700;CN-441800;CN-441900;CN-442000;CN-445100;CN-445200;CN-445300,2024,gov_fund_revenue_100m,provisional_only,仅用于政府性基金收入补充抽取；报告表5注明数据来源为预警通，不能替代官方全市决算表。河源、茂名原文为“-”，保持 null。
SRC-GD-CITY-GDP-2025,广东省统计局,A2,true,官方地市经济表,https://stats.gd.gov.cn/fsjdgnsczz/content/post_4854894.html,https://stats.gd.gov.cn/fsjdgnsczz/content/post_4854894.html,guangdong_2025_city_gdp.html,text/html,2026-02-08,multicity_batch,21,1,42,CN-440100;CN-440200;CN-440300;CN-440400;CN-440500;CN-440600;CN-440700;CN-440800;CN-440900;CN-441200;CN-441300;CN-441400;CN-441500;CN-441600;CN-441700;CN-441800;CN-441900;CN-442000;CN-445100;CN-445200;CN-445300,2025,gdp_current_100m;gdp_real_growth_pct,accepted,广东省统计局官方地市表；GDP为现价地区生产总值，增长率为初步核算实际增速；2025年数据状态标记为 preliminary。
SRC-GD-CITY-FISCAL-2025,广东省财政厅,A2,true,官方地市财政执行表,https://czt.gd.gov.cn/czysjs/content/post_4857651.html,https://czt.gd.gov.cn/attachment/0/607/607013/4857651.pdf,guangdong_2025_budget_attachment_3.pdf,application/pdf,2026-02-14,multicity_batch,21,1,42,CN-440100;CN-440200;CN-440300;CN-440400;CN-440500;CN-440600;CN-440700;CN-440800;CN-440900;CN-441200;CN-441300;CN-441400;CN-441500;CN-441600;CN-441700;CN-441800;CN-441900;CN-442000;CN-445100;CN-445200;CN-445300,2025,general_public_expenditure_100m;general_public_revenue_100m,accepted,表2/表4使用各市一般公共预算收入、支出执行数；原始单位万元，转换为亿元；数据状态标记为 execution。
SRC-GZ-CITY-FUND-2025,广州市财政局,A2,true,官方城市政府性基金预算执行报告,https://www.gz.gov.cn/attachment/7/7970/7970896/10682364.pdf,https://www.gz.gov.cn/attachment/7/7970/7970896/10682364.pdf,guangzhou_2025_budget_report.pdf,application/pdf,2026-01-19,city_year,1,1,1,CN-440100,2025,gov_fund_revenue_100m,accepted,报告正文标记为2025年预计执行情况；全市政府性基金预算收入为1000亿元，表21同步列示执行数10000000万元。
SRC-SZ-CITY-FUND-2025,深圳市财政局,A2,true,官方城市政府性基金预算执行报告,https://www.sz.gov.cn/attachment/1/1704/1704493/12737941.pdf,https://www.sz.gov.cn/attachment/1/1704/1704493/12737941.pdf,shenzhen_2025_budget_report.pdf,application/pdf,2026-04-13,city_year,1,1,1,CN-440300,2025,gov_fund_revenue_100m,accepted,官方公报正文披露2025年全市政府性基金预算收入667亿元，并明确为预计执行数，待年终决算依法报告。
SRC-DG-CITY-FUND-2025,东莞市财政局,A2,true,官方城市政府性基金预算执行报告,https://czj.dg.gov.cn/attachment/0/403/403768/4501595.pdf,https://czj.dg.gov.cn/attachment/0/403/403768/4501595.pdf,dongguan_2025_budget_report.pdf,application/pdf,2026-02-04,city_year,1,1,1,CN-441900,2025,gov_fund_revenue_100m,accepted,官方预算执行报告正文披露2025年全市政府性基金预算收入138.49亿元，执行状态明确。
SRC-ZS-CITY-FUND-2025,中山市财政局,A2,true,官方城市财政预算执行信息,https://czj.zs.gov.cn/sy/gzdt/zwdt/content/post_2594033.html,https://czj.zs.gov.cn/sy/gzdt/zwdt/content/post_2594033.html,zhongshan_2025_budget_report.html,text/html,2026-02-05,city_year,1,1,1,CN-442000,2025,gov_fund_revenue_100m,accepted,官方预算公开PDF正文披露2025年全市政府性基金收入80.4亿元，按报告原文全市口径记录。
SRC-ST-CITY-FUND-2025,汕头市人大,A2,true,官方城市财政预算执行信息,https://rd.shantou.gov.cn/swjdbzhy/wjgg/202602/d8eb76c630924e459f556039f751330f.shtml,https://rd.shantou.gov.cn/swjdbzhy/wjgg/202602/d8eb76c630924e459f556039f751330f.shtml,shantou_2025_budget_report.html,text/html,2026-02-05,city_year,1,1,1,CN-440500,2025,gov_fund_revenue_100m,accepted,市人大官方审查结果报告明确披露2025年全市政府性基金预算收入100.7亿元，执行口径、全市口径。
SRC-ZJ-CITY-FUND-2025,湛江市人民政府,A2,true,官方城市财政预算执行信息,https://www.zhanjiang.gov.cn/zdlyxxgk/czyjshsg/czyjs/czys/content/post_2159807.html,https://www.zhanjiang.gov.cn/zdlyxxgk/czyjshsg/czyjs/czys/content/post_2159807.html,zhanjiang_2025_budget_report.html,text/html,2026-02-05,city_year,1,1,1,CN-440800,2025,gov_fund_revenue_100m,accepted,市政府官方报告明确披露2025年全市政府性基金预算收入64.7亿元，完成年度预算82.8%，执行口径、全市口径。
SRC-NINGXIA-CITY-FISCAL-YINCHUAN-2025,银川市财政局,A2,true,官方城市财政预算执行报告,https://www.yinchuan.gov.cn/xxgk/bmxxgkml/sczj/xxgkml_2101/czyjsjsgjf_2119/zfys/202602/t20260212_5171239.html,https://www.yinchuan.gov.cn/xxgk/bmxxgkml/sczj/xxgkml_2101/czyjsjsgjf_2119/zfys/202602/t20260212_5171239.html,yinchuan_2025.pdf,application/pdf,2026-02-12,unclassified,0,0,0,,,,registered_no_selected_value,官方预算执行报告正文逐项披露全市口径 2025 年一般公共预算收入、支出和政府性基金预算收入；执行数，不使用市本级数或 2026 年预算草案数。
SRC-NINGXIA-CITY-FISCAL-SHIZUISHAN-2025,石嘴山市财政局,A2,true,官方城市财政预算执行报告,https://www.shizuishan.gov.cn/zwgk/zfxxgkml/czyjsgk/zfys/2026df/202601/P020260206403630063012.pdf,https://www.shizuishan.gov.cn/zwgk/zfxxgkml/czyjsgk/zfys/2026df/202601/P020260206403630063012.pdf,shizuishan_2025.pdf,application/pdf,2026-01-29,city_year,1,1,3,CN-640200,2025,general_public_expenditure_100m;general_public_revenue_100m;gov_fund_revenue_100m,accepted,官方预算执行报告正文逐项披露全市口径 2025 年一般公共预算收入、支出和政府性基金预算收入；执行数，不使用市本级数或 2026 年预算草案数。
SRC-NINGXIA-CITY-FISCAL-WUZHONG-2025,吴忠市财政局,A2,true,官方城市财政预算执行报告,https://www.wuzhong.gov.cn/xxgk/zfxxgkml/yjsgkqk/zfys/2026n/202602/P020260204632187152760.pdf,https://www.wuzhong.gov.cn/xxgk/zfxxgkml/yjsgkqk/zfys/2026n/202602/P020260204632187152760.pdf,wuzhong_2025.pdf,application/pdf,2026-02-04,city_year,1,1,3,CN-640300,2025,general_public_expenditure_100m;general_public_revenue_100m;gov_fund_revenue_100m,accepted,官方预算公开报告附表/说明逐项披露全市口径 2025 年精确执行数；原始单位为万元，统一换算为亿元，不使用正文四舍五入值或市本级数。
SRC-NINGXIA-CITY-FISCAL-ZHONGWEI-2025,中卫市财政局,A2,true,官方城市财政预算执行报告,https://www.nxzw.gov.cn/zwgk/bmxxgkml/sczj/fdzdgknr_49463/ysjsxx_49468/zfys/202602/P020260323561503366266.pdf,https://www.nxzw.gov.cn/zwgk/bmxxgkml/sczj/fdzdgknr_49463/ysjsxx_49468/zfys/202602/P020260323561503366266.pdf,zhongwei_2025.pdf,application/pdf,2026-02-12,city_year,1,1,3,CN-640500,2025,general_public_expenditure_100m;general_public_revenue_100m;gov_fund_revenue_100m,accepted,官方预算公开报告正文逐项披露全市口径 2025 年执行数；不使用市本级数或 2026 年预算草案数。
SRC-SHANDONG-CITY-FISCAL-JINAN-2025,济南市财政局,A2,true,官方城市财政预算执行报告,https://jncz.jinan.gov.cn/col/col48336/art/2026/art_95d35f3c8a1e47469fb8b5fa3cf63f50.html,https://jnns.jinan.gov.cn/cms_files/filemanager/1668/attach/20262/cbbf22b3087f4fa89ef76c2891f3272f.pdf?fileName=%E5%85%B3%E4%BA%8E%E6%B5%8E%E5%8D%97%E5%B8%822025%E5%B9%B4%E9%A2%84%E7%AE%97%E6%89%A7%E8%A1%8C%E6%83%85%E5%86%B5%E4%B8%8E2026%E5%B9%B4%E9%A2%84%E7%AE%97%E8%8D%89%E6%A1%88%E7%9A%84%E6%8A%A5%E5%91%8A.pdf,jinan_2025_budget_report.pdf,application/pdf,2026-02-10,city_year,1,1,3,CN-370100,2025,general_public_expenditure_100m;general_public_revenue_100m;gov_fund_revenue_100m,accepted,济南市财政局官方预算执行报告披露全市口径 2025 年执行数；不使用市级或 2026 年预算草案数。
SRC-SHANDONG-CITY-FISCAL-QINGDAO-2025,青岛市财政局,A2,true,官方城市财政预算执行报告,https://www.qingdao.gov.cn/zwgk/zdgk/czxx/szfyjs/zxqk/202601/t20260130_10495657.shtml,https://www.qingdao.gov.cn/zwgk/zdgk/czxx/szfyjs/zxqk/202601/P020260130338555114519.pdf,qingdao_2025_budget_report.pdf,application/pdf,2026-01-30,city_year,1,1,3,CN-370200,2025,general_public_expenditure_100m;general_public_revenue_100m;gov_fund_revenue_100m,accepted,青岛市财政局官方预算执行报告披露全市口径 2025 年执行数；不使用市级或 2026 年预算草案数。
SRC-JIANGSU-CITY-FISCAL-CHANGZHOU-2025,常州市财政局,A2,true,官方城市财政预算执行报告（网页）,https://rd.changzhou.gov.cn/html/rd/2026/EKPMKPDC_0122/35038.html,https://rd.changzhou.gov.cn/html/rd/2026/EKPMKPDC_0122/35038.html,changzhou_2025_budget_report.html,text/html,2026-01-22,city_year,1,1,3,CN-320400,2025,general_public_expenditure_100m;general_public_revenue_100m;gov_fund_revenue_100m,accepted,常州市人大公开的财政局报告披露全市口径 2025 年预计执行数；报告明确最终数字以 2025 年决算草案为准，当前标记为 execution，不作为最终决算数解读。
SRC-HENAN-CITY-FISCAL-LUOYANG-2025,洛阳市财政局,A2,true,官方城市财政预算执行报告,https://oss.ly.gov.cn/upload-file/files/20260305/4e03eb31347142f2902b518d7388a496.pdf,https://oss.ly.gov.cn/upload-file/files/20260305/4e03eb31347142f2902b518d7388a496.pdf,luoyang_2025_budget_report.pdf,application/pdf,2026-03-05,city_year,1,1,3,CN-410300,2025,general_public_expenditure_100m;general_public_revenue_100m;gov_fund_revenue_100m,accepted,洛阳市人大会议官方附件披露全市口径 2025 年预算执行完成数；不使用市级或 2026 年预算草案数。
SRC-HUNAN-CITY-FISCAL-YUEYANG-2025,岳阳市财政局,A2,true,官方城市财政预算执行报告,https://www.yueyang.gov.cn/web/uploadfiles/202601/2026012609340543556.pdf,https://www.yueyang.gov.cn/uploadfiles/202601/2026012609340543556.pdf,yueyang_2025_budget_report.pdf,application/pdf,2026-01-26,city_year,1,1,3,CN-430600,2025,general_public_expenditure_100m;general_public_revenue_100m;gov_fund_revenue_100m,accepted,岳阳市人大会议官方附件披露全市口径 2025 年预计执行数；当前标记为 execution，不作为最终决算数解读。
SRC-HUNAN-CITY-FISCAL-HENGYANG-2025,衡阳市财政局,A2,true,官方城市财政预算执行报告（网页摘录）,https://www.hengyang.gov.cn/czj/ztxx/czysjsgk/cxzyhyjsgk/ysjsbg/20260115/i3850020.html,https://www.hengyang.gov.cn/czj/ztxx/czysjsgk/cxzyhyjsgk/ysjsbg/20260115/i3850020.html,hengyang_2025_budget_report_excerpt.txt,text/plain,2026-01-15,city_year,1,1,3,CN-430400,2025,general_public_expenditure_100m;general_public_revenue_100m;gov_fund_revenue_100m,accepted,衡阳市财政局官方报告页面定位摘录披露全市口径 2025 年预计执行数；当前标记为 execution，不作为最终决算数解读。
SRC-JIANGSU-CITY-FISCAL-WUXI-2025,无锡市财政局,A2,true,官方城市财政预算执行报告（网页）,https://rd.wuxi.gov.cn/doc/2026/01/30/4726147.shtml,https://rd.wuxi.gov.cn/doc/2026/01/30/4726147.shtml,wuxi_2025_budget_report.html,text/html,2026-01-30,city_year,1,1,3,CN-320200,2025,general_public_expenditure_100m;general_public_revenue_100m;gov_fund_revenue_100m,accepted,无锡市人大公开的财政局报告披露全市口径 2025 年预计执行数，当前标记为 execution，不作为最终决算数解读。
SRC-HUNAN-CITY-FISCAL-CHANGDE-2025,常德市财政局,A2,true,官方城市财政预算执行报告（网页）,https://www.cdsrd.gov.cn/rdhy/rmdbdh/iqajifnqaf/gzbg05/content_3158113,https://www.cdsrd.gov.cn/rdhy/rmdbdh/iqajifnqaf/gzbg05/content_3158113,changde_2025_budget_report.html,text/html,2025-12-29,city_year,1,1,3,CN-430700,2025,general_public_expenditure_100m;general_public_revenue_100m;gov_fund_revenue_100m,accepted,常德市人大公开的财政局报告披露全市口径 2025 年预计执行数，报告明确决算编制后会有变化，当前标记为 execution。
SRC-HUNAN-CITY-FISCAL-YIYANG-2025,益阳市财政局,A2,true,官方城市财政预算执行报告（网页）,https://www.yiyang.gov.cn/czj/5841/5844/5860/content_2143608.html,https://www.yiyang.gov.cn/czj/5841/5844/5860/content_2143608.html,yiyang_2025_budget_report.html,text/html,2026-01-06,city_year,1,1,3,CN-430900,2025,general_public_expenditure_100m;general_public_revenue_100m;gov_fund_revenue_100m,accepted,益阳市财政局官方预算报告网页披露全市口径 2025 年预计执行数，当前标记为 execution，不作为最终决算数解读。
SRC-JIANGSU-CITY-STATISTICAL-SUZHOU-2025,苏州市统计局,A2,true,官方统计公报（网页）,https://www.suzhou.gov.cn/szsrmzf/ndgmjjhshfztjsjfb/202605/0543af82405748cd9ffa4cfc81aecccd.shtml,https://www.suzhou.gov.cn/szsrmzf/ndgmjjhshfztjsjfb/202605/0543af82405748cd9ffa4cfc81aecccd.shtml,suzhou_2025_statistical_bulletin.html,text/html,2026-05-22,city_year,1,1,5,CN-320500,2025,gdp_current_100m;gdp_real_growth_pct;general_public_expenditure_100m;general_public_revenue_100m;resident_population_10k,accepted,苏州市统计局官方统计公报披露 2025 年全市一般公共预算收入和支出年度数据；政府性基金收入未在本批代填。
SRC-B2-JIANGSU-XUZHOU-FISCAL-2025,联合资信评估股份有限公司,B2,true,评级报告财力指标表（精确表格）,https://static.sse.com.cn/disclosure/bond/announcement/corporate/c/new/2026-06-18/184140_20260618_LON3.pdf,https://static.sse.com.cn/disclosure/bond/announcement/corporate/c/new/2026-06-18/184140_20260618_LON3.pdf,xuzhou_2025_finance_rating.pdf,application/pdf,2026-06-18,city_year,1,1,3,CN-320300,2025,general_public_expenditure_100m;general_public_revenue_100m;gov_fund_revenue_100m,accepted,B2 精确表格，联合资信报告明确引用徐州市预算执行报告；2025 年值作为可审计二手补缺，不等同于官方决算原件。
SRC-B2-JIANGSU-YANGZHOU-FISCAL-2025,中国区域经济学会信息平台转载,B2,true,统计公报财政表（精确表格转载）,https://www.crei.cn/file/br.aspx?id=20260527164838,https://www.crei.cn/file/br.aspx?id=20260527164838,yangzhou_2025_statistical_bulletin.html,text/html,2026-05-27,city_year,1,1,3,CN-321000,2025,general_public_expenditure_100m;general_public_revenue_100m;gov_fund_revenue_100m,accepted,B2 精确表格转载，含扬州市 2025 年财政收入、支出和政府性基金收入；作为可审计二手补缺，不等同于官方决算原件。
SRC-B2-JIANGSU-ZHENJIANG-FISCAL-2025,中国区域经济学会信息平台转载,B2,true,统计公报财政表（精确表格转载）,https://www.crei.cn/file/br.aspx?id=20260527164608&op=zc&x=0,https://www.crei.cn/file/br.aspx?id=20260527164608&op=zc&x=0,zhenjiang_2025_statistical_bulletin.html,text/html,2026-05-27,city_year,1,1,2,CN-321100,2025,general_public_expenditure_100m;general_public_revenue_100m,accepted,B2 精确表格转载，含镇江市 2025 年一般公共预算收入和支出；政府性基金收入本批未代填。
SRC-B2-JIANGSU-TAIZHOU-FISCAL-2025,评级机构公开披露,B2,true,评级报告财政数据表（精确表格）,https://static.sse.com.cn/disclosure/bond/announcement/corporate/c/new/2026-06-22/152418_20260622_WNHE.pdf,https://static.sse.com.cn/disclosure/bond/announcement/corporate/c/new/2026-06-22/152418_20260622_WNHE.pdf,taizhou_2025_finance_rating.pdf,application/pdf,2026-06-22,city_year,1,1,3,CN-321200,2025,general_public_expenditure_100m;general_public_revenue_100m;gov_fund_revenue_100m,accepted,B2 精确表格，评级报告注明数据根据泰州市财政局、政府决算报告及预算执行报告整理；2025 年值作为可审计二手补缺，不等同于官方决算原件。
SRC-FUJIAN-CITY-STATISTICAL-FUZHOU-2025,福州市财政局,A2,true,官方统计公报（网页）,https://www.fuzhou.gov.cn/zgfzzt/czzj/bjndyjs/zfjsgk/202607/t20260713_5345722.htm,https://www.fuzhou.gov.cn/zgfzzt/czzj/bjndyjs/zfjsgk/202607/t20260713_5345722.htm,fuzhou_2025_finance_final.html,text/html,2026-07-13,city_year,1,1,3,CN-350100,2025,general_public_expenditure_100m;general_public_revenue_100m;gov_fund_revenue_100m,accepted,福州市财政局官方财政决算页面披露 2025 年全市一般公共预算收入、支出和政府性基金预算收入；采用决算数，不使用市本级口径。
SRC-FUJIAN-CITY-STATISTICAL-QUANZHOU-2025,泉州市统计局、国家统计局泉州调查队,A2,true,官方统计公报（网页）,https://www.quanzhou.gov.cn/zfb/xxgk/zfxxgkzl/qzdt/qzyw/202603/t20260331_3279339.htm,https://www.quanzhou.gov.cn/zfb/xxgk/zfxxgkzl/qzdt/qzyw/202603/t20260331_3279339.htm,quanzhou_2025_statistical_bulletin.html,text/html,2026-03-31,city_year,1,1,5,CN-350500,2025,gdp_current_100m;gdp_real_growth_pct;general_public_expenditure_100m;general_public_revenue_100m;gov_fund_revenue_100m,accepted,泉州市统计局、国家统计局泉州调查队官方统计公报披露 2025 年全市地方一般公共预算收入、支出和政府性基金预算收入；初步统计值按 A2 归档。
SRC-HUNAN-CITY-STATISTICAL-CHANGSHA-2025,湖南省统计局,A2,true,官方统计公报（网页）,https://tjj.hunan.gov.cn/hntj/tjfx/tjgb/szgb/zss_1/202605/t20260512_33975356.html,https://tjj.hunan.gov.cn/hntj/tjfx/tjgb/szgb/zss_1/202605/t20260512_33975356.html,changsha_2025_statistical_bulletin.html,text/html,2026-04-21,city_year,1,1,4,CN-430100,2025,gdp_current_100m;gdp_real_growth_pct;general_public_expenditure_100m;general_public_revenue_100m,accepted,湖南省统计局官方长沙市统计公报披露 2025 年地方一般公共预算收入和支出；政府性基金收入本批未代填。
